 10, 155, 244
255, 255, 255
255, 254, 250
255, 253, 246
255, 252, 241
255, 251, 237
255, 250, 232
255, 249, 228
255, 248, 223
255, 247, 218
255, 246, 214
255, 244, 209
255, 243, 204
255, 242, 199
255, 241, 195
255, 240, 190
255, 239, 185
255, 238, 180
255, 237, 175
255, 235, 170
255, 234, 165
255, 233, 160
255, 232, 154
255, 231, 149
255, 230, 143
255, 228, 138
255, 227, 132
255, 226, 126
255, 225, 120
255, 223, 114
255, 222, 108
255, 221, 101
255, 220,  94
255, 218,  86
255, 217,  78
255, 216,  69
255, 214,  58
255, 213,  45
255, 212,  28
255, 209,  10
255, 207,  11
255, 205,  13
255, 202,  14
255, 200,  15
255, 198,  16
255, 195,  17
255, 193,  17
255, 191,  18
255, 188,  19
255, 186,  20
255, 184,  20
255, 181,  21
255, 179,  22
255, 177,  22
255, 174,  23
255, 172,  23
255, 169,  24
255, 167,  24
255, 165,  25
255, 162,  25
255, 160,  26
255, 157,  26
255, 155,  26
255, 152,  27
255, 150,  27
255, 147,  28
255, 145,  29
255, 142,  29
255, 140,  30
255, 137,  30
255, 135,  31
255, 132,  32
255, 129,  32
255, 127,  33
255, 124,  33
255, 121,  34
255, 119,  34
255, 116,  35
255, 113,  35
255, 110,  35
255, 107,  36
255, 104,  36
255, 101,  37
255,  98,  37
255,  95,  37
255,  91,  37
255,  88,  38
255,  85,  38
255,  81,  38
255,  77,  39
255,  74,  39
255,  70,  40
253,  69,  45
250,  69,  50
248,  68,  54
246,  67,  58
244,  67,  61
242,  66,  65
240,  65,  68
238,  65,  71
236,  64,  74
234,  63,  77
231,  63,  79
229,  62,  82
227,  61,  84
225,  60,  86
223,  60,  89
221,  59,  91
219,  58,  93
217,  57,  95
215,  56,  97
213,  55,  99
211,  54, 101
209,  53, 103
207,  52, 105
205,  51, 106
203,  50, 108
201,  49, 110
199,  48, 111
197,  47, 113
195,  46, 115
193,  45, 116
191,  43, 118
189,  42, 119
187,  41, 121
185,  39, 122
183,  38, 124
181,  36, 125
179,  36, 127
177,  38, 128
174,  40, 130
172,  42, 132
169,  44, 134
167,  46, 135
164,  47, 137
162,  49, 139
159,  50, 141
157,  51, 142
154,  52, 144
151,  53, 146
149,  54, 147
146,  55, 149
144,  56, 151
141,  56, 152
139,  57, 154
136,  58, 156
134,  58, 157
131,  59, 159
128,  59, 161
126,  59, 162
123,  60, 164
121,  60, 166
118,  60, 167
115,  60, 169
113,  60, 170
110,  60, 172
108,  60, 174
105,  60, 175
102,  60, 177
 99,  60, 179
 97,  60, 180
 94,  60, 182
 91,  60, 183
 88,  59, 185
 86,  59, 186
 83,  58, 188
 80,  58, 190
 77,  57, 191
 74,  57, 193
 71,  56, 194
 68,  56, 196
 65,  55, 198
 62,  54, 199
 58,  53, 201
 55,  52, 202
 52,  51, 204
 50,  50, 201
 49,  49, 198
 48,  48, 195
 47,  47, 192
 46,  46, 188
 45,  45, 185
 44,  44, 182
 43,  43, 179
 42,  42, 176
 41,  42, 173
 40,  41, 170
 40,  40, 167
 39,  39, 164
 38,  38, 161
 37,  37, 158
 36,  36, 155
 35,  35, 152
 34,  34, 149
 33,  33, 146
 32,  32, 143
 31,  31, 140
 30,  31, 137
 29,  30, 134
 28,  29, 132
 28,  28, 129
 27,  27, 126
 26,  26, 123
 25,  25, 120
 24,  24, 117
 23,  24, 114
 22,  23, 112
 21,  22, 109
 21,  21, 106
 20,  20, 103
 19,  19, 100
 18,  18,  98
 17,  18,  95
 16,  17,  92
 15,  16,  90
 15,  15,  87
 14,  14,  84
 13,  13,  82
 12,  13,  79
 11,  12,  76
 11,  11,  74
 10,  10,  71
  9,   9,  68
  8,   9,  66
  8,   8,  63
  7,   7,  61
  6,   7,  58
  6,   6,  56
  5,   6,  53
  5,   5,  51
  4,   5,  48
  4,   4,  46
  3,   4,  43
  3,   3,  41
  3,   3,  39
  2,   3,  36
  2,   2,  34
  2,   2,  32
  2,   2,  29
  1,   2,  27
  1,   1,  25
  1,   1,  23
  1,   1,  21
  1,   1,  18
  1,   1,  16
  0,   1,  14
  0,   0,  12
  0,   0,  10
  0,   0,   8
  0,   0,   7
  0,   0,   5
  0,   0,   4
  0,   0,   3
  0,   0,   2
  0,   0,   1
  0,   0,   0
