  0,   0,   0
  9,   6,  18
 17,  11,  29
 20,  16,  40
 23,  20,  51
 25,  22,  63
 27,  25,  75
 29,  28,  87
 30,  31, 100
 32,  33, 101
 34,  36, 102
 35,  38, 104
 37,  41, 105
 38,  43, 106
 40,  45, 107
 41,  48, 108
 43,  50, 110
 44,  53, 111
 46,  55, 112
 47,  57, 113
 48,  60, 114
 50,  62, 116
 51,  65, 117
 52,  67, 118
 54,  69, 119
 56,  72, 120
 58,  74, 121
 60,  76, 123
 61,  78, 124
 63,  81, 125
 65,  83, 126
 67,  85, 127
 69,  88, 128
 70,  90, 129
 72,  92, 130
 74,  95, 132
 76,  97, 133
 77, 100, 134
 79, 102, 135
 82, 104, 136
 85, 106, 137
 88, 109, 138
 90, 111, 139
 93, 113, 140
 96, 115, 141
 99, 118, 142
101, 120, 143
104, 122, 143
107, 124, 144
109, 127, 145
112, 129, 146
115, 131, 147
117, 134, 148
120, 136, 149
123, 138, 150
126, 140, 150
130, 143, 151
133, 145, 152
136, 147, 153
139, 149, 153
142, 152, 154
145, 154, 155
148, 156, 156
152, 158, 156
155, 161, 157
158, 163, 158
161, 165, 159
164, 168, 159
167, 170, 160
171, 173, 161
176, 176, 162
180, 179, 163
185, 183, 164
189, 186, 165
193, 189, 166
198, 192, 167
202, 195, 168
207, 199, 169
211, 202, 169
215, 205, 170
220, 208, 171
224, 211, 172
229, 215, 173
233, 218, 174
235, 220, 168
236, 223, 162
238, 225, 156
240, 228, 150
241, 230, 143
242, 233, 137
244, 235, 130
245, 238, 124
246, 240, 117
247, 243, 109
248, 245, 102
249, 247,  94
250, 250,  85
250, 252,  76
251, 255,  65
252, 249,  62
253, 243,  58
253, 237,  54
254, 230,  51
254, 224,  47
255, 218,  44
255, 212,  40
255, 206,  36
255, 199,  32
255, 193,  28
255, 187,  23
255, 180,  18
255, 174,  13
254, 168,   6
254, 161,   0
253, 155,   0
252, 148,   0
251, 141,   0
251, 135,   0
249, 128,   0
248, 121,   0
247, 113,   0
246, 106,   0
245,  98,   0
243,  90,   0
242,  82,   0
241,  73,   0
239,  62,   0
238,  51,   0
236,  36,   1
229,  35,   2
222,  33,   4
214,  32,   5
207,  31,   6
200,  29,   7
193,  28,   8
186,  27,   9
179,  26,   9
172,  24,  10
165,  23,  11
159,  22,  11
152,  21,  11
145,  19,  12
139,  18,  12
132,  17,  12
125,  16,  12
119,  15,  12
113,  14,  11
106,  13,  11
100,  12,  10
 94,  11,  10
 88,   9,   9
 82,   8,   8
 76,   8,   7
 70,   7,   6
 64,   6,   5
 58,   5,   4
 53,   4,   2
 48,   3,   1
 43,   0,   0
 44,   5,   6
 46,  10,  12
 48,  14,  17
 49,  18,  21
 51,  22,  24
 53,  26,  27
 55,  30,  31
 57,  33,  34
 59,  37,  38
 60,  40,  41
 62,  44,  45
 64,  48,  48
 65,  52,  52
 67,  55,  55
 68,  59,  59
 70,  61,  61
 72,  64,  64
 74,  66,  66
 75,  69,  69
 77,  71,  71
 79,  73,  73
 81,  76,  76
 83,  78,  78
 85,  81,  81
 87,  83,  83
 88,  86,  86
 90,  88,  88
 92,  91,  91
 94,  93,  93
 96,  96,  96
 98,  98,  98
101, 101, 101
103, 103, 103
106, 106, 106
108, 108, 108
111, 111, 111
113, 113, 113
115, 115, 115
118, 118, 118
120, 120, 120
123, 123, 123
125, 125, 125
128, 128, 128
130, 130, 130
133, 133, 133
136, 136, 136
138, 138, 138
141, 141, 141
143, 143, 143
146, 146, 146
148, 148, 148
151, 151, 151
154, 154, 154
156, 156, 156
159, 159, 159
161, 161, 161
164, 164, 164
167, 167, 167
169, 169, 169
172, 172, 172
175, 175, 175
177, 177, 177
180, 180, 180
183, 183, 183
185, 185, 185
188, 188, 188
191, 191, 191
194, 194, 194
196, 196, 196
199, 199, 199
202, 202, 202
205, 205, 205
207, 207, 207
210, 210, 210
213, 213, 213
218, 218, 218
223, 223, 223
229, 229, 229
234, 234, 234
239, 239, 239
244, 244, 244
250, 250, 250
255, 255, 255
